Identifier	Title	Additional Title	Publication Information	Physical Description	Notes	Contents	Subjects	GeographicSubjects	Genre	CreatorNames	ContributorNames
3869693	Dawson City[videorecording] :frozen time /Hypnotic Pictures and Picture Palace Pictures present ; a film by Bill Morrison ; in association with Arte-La Lucarne and The Museum of Modern Art.	Frozen time	[New York, New York] :Kino Lorber,2017.	1 videodisc (120 min.) :silent and sound, color and black and white ;4 3/4 in.	This disc is a recorded DVD and may not play on all DVD players or drives.;Credits from container.;Originally produced in 2016.	"""This meditation on cinema's past from Decasia director Bill Morrison pieces together the bizarre true history of a long-lost collection of 533 nitrate film prints from the early 1900s. Located just south of the Arctic Circle, Dawson City was settled in 1896 and became the center of the Canadian Gold Rush that brough 100,000 prospectors to the area. It was also the final stop for a distribution chain that sent prints and newsreels to the Yukon. The films were seldom, if ever, returned. The now-famous Dawson City Collection was uncovered in 1978 when a bulldozer working its way through a parking lot dug up a horde of film cans. Morrison draws on these permafrost-protected, rare silent films and newsreels, pairing them with archival footage, interviews, historical photographs, and an enigmatic score by Sigur Ros collaborator and composer Alex Somers. Dawson City : Frozen Time depicts the unique history of this Canadian Gold Rush town by chronicling the life cycle of a singular film collection through its exile, burial, rediscovery, and salvation""--Container."	Motion pictures--Yukon--Dawson--History.;Motion picture film collections--Yukon--Dawson.	Dawson (Yukon)--History.	Feature films.--lcgft;Nonfiction films.--lcgft;Documentary films.--lcgft;Film excerpts.--lcgft;Silent films.--lcgft;Video recordings for the hearing impaired.--lcgft	Morrison, Bill,1965 November 17-screenwriter,film producer,film director,editor of moving image work.;Molyneaux, Madeleine,film producer.;Jones-Gates, Kathy,on-screen participant.;Gates, Michael(Historian)on-screen participant.;Kula, Sam,on-screen participant.;Somers, Alex,composer.	Hypnotic Pictures (Firm),presenter.;Picture Palace (Firm),presenter.;Arte-La Lucarne,production company.;Museum of Modern Art (New York, N.Y.),production company.;Kino Lorber, Inc.,film distributor.
3870984	Soundtracker[videorecording] :a portrait of Gordon Hempton /a Fou Films production ; director, producer, writer, Nicholas Sherman.	Portrait of Gordon Hempton	New York, NY :IndiePix Films,[2010]	1 videodisc (82 min.) :sound, color ;4 3/4 in.	Originally produced as a motion picture in 2010.;Special features: Interview with director Nicholas Sherman; One square inch: an interactive feature on the quietest place in the United States; World of sound: a 72-minute sonic tour of the world; Deleted scenes: Flight maps across the US, Early morning at Lake Mills, The evolution of a bird song, Silence is not silent, The way it was 1000 years ago, Blow your whistle; Theatrical trailer; More at IndiePix.	Emmy Award-winning sound recordist Gordon Hempton explores the West to capture the sounds of nature before they are no longer around, and in the process finds a new sound that captures the spirit of America.	Bioacoustics.;Nature sounds--West (U.S.)		Travelogues (Motion pictures)--lcgft;Documentary films.--lcgft;Feature films.--lcgft;Nonfiction films.--lcgft;Video recordings for the hearing impaired.--lcgft	Sherman, Nicholas,screenwriter,film director,film producer.ausprodrt;Hempton, Gordon,on-screen participant.;DiCicco, Martin,director of photography.cng;Davis, J.(Editor),editor of moving image work.flm;Wingo, David,composer.cmp	IndiePix (Firm),publisher.;Fou Films,production company.
3866300	Le fils de Joseph[videorecording] =The son of Joseph /Coffee and Films, Les Films du Fleuve présentent ; en association avec Arte/Cofinova 12 ; scénario et dialogues, Eugène Green ; produit par Francine et Didier Jacob ; un film de Eugène Green.	Son of Joseph	New York, NY :Kino Lorber, Inc.,[2017];©2016;Design,©2017	1 videodisc (113 min.) :sound, color ;4 3/4 in.	Originally produced as a motion picture in 2016.;Widescreen (1.85:1, 16x9).;Bonus features: La Manière, a documentary on the work of Eugene Green (38 min.); trailer.	Vincent's mother always refused to reveal the identity of his father, but the teenager finally learns, to his dismay, that it's Oscar Pormenor, an egotistic and cynical Parisian publisher.	Fathers and sons--France--Paris--Drama.;Mothers and sons--France--Paris--Drama.		Feature films.--lcgft;Fiction films.--lcgft	Green, Eugène,1947-screenwriter,film director.;Jacob, Francine,film producer.;Jacob, Didier(Producer),film producer.;Ezenfis, Victor,actor.;Régnier, Natacha,1974-actor.;Rongione, Fabrizio,actor.;Amalric, Mathieu,1965-actor.;Medeiros, Maria de,actor.;Lefilliâtre, Claire,actor.;Dumestre, Vincent,actor.;Moaty, Louise,actor.;Lazar, Benjamin,actor.;Prot, Christelle,actor.;Michaux, Adrien,actor.;Bonnaffé, Jacques,1958-actor.;O'Byrne, Raphaël,director of photography.;Loiseleux, Valérie,editor of moving image work.	Coffee and Films (Firm),presenter.;Films du fleuve (Firm),presenter.;Association relative à la télévision européenne,presenter.;Cofinova 12 (Firm),presenter.;Kino Lorber, Inc.,publisher.
3865743	880-01Shenat efes[videorecording] =Year zero /United King Films presents ; The Yehoshua Rabinovitch Fund for Arts Tel-Aviv ; HOT, the Israeli Cable Television Company ; screenplay, Joseph Pitchhadze, Dov Steuer ; producer, Lior Shefer ; director, Joseph Pitchhadze.	Year zero;Shnat effes	[Israel] :Globus United :United King Ltd.,[2006];©2006	1 videodisc (125 min.) :sound, color ;4 3/4 in	Credits from English subtitles.;Originally produced as a motion picture in 2004.;Bonus materials include: Behind the scenes; deleted scenes; trailer; 4 video clips.	Through accident, circumstance, and design, the lives of various Tel Aviv residents intersect with tragic results.	Social interaction--Israel--Drama.;Feature films--Israel.	Tel Aviv (Israel)--Drama.	Feature films.--lcgft	880-02Pitchhadze, Joseph.ausdrtpro;880-03Steuer, Dov.ausedt;880-04Shefer, Lior.pro;880-05Adler, Sarah.act;880-06Noi, Menasheh.act;880-07Moshonov, Moni,1951-act;880-08Mor, Keren.act;880-09Kafri, Ezra.act;880-10Geva, Dan,1964-act;880-11Toren, Dan.act;880-12Ringart, Zuki.act;880-13Klausner, Uri Ran.act;880-14Kricheli, Roman.act;880-15Gonsalves, James.act;880-16Adar, Yishai.cmp;880-17Neeman, Itai.cng	880-18United King Films (Firm)pro;HOT (Television station : Israel)pro;880-19Ḳeren Yehoshuʻa Rabinovits le-omanuyot.pro;880-20Globus-United (Firm)dst
3793036	880-01Laʻavor et ha-ḳir[videorecording] =Through the wall /Norma Hafaḳot matsigah.	Through the wall	[United Kingdom] :Curzon Artificial Eye,[2017];©2017	1 videodisc (106 min.) :sound, color ;4 3/4 in.	Originally released as a motion picture in 2016.;Wide screen (16x9, 1.85:1).	It is a poignant and funny romantic comedy about love, marriage, and faith in life's infinite possibilities. Michal, blindsided by her fiance's decision to call off their wedding with only a month's notice, is unwilling to return to single life. Michal decides to put her trust in fate and continue with her wedding plans, believing Mr. Right will appear by her chosen date. As the day of the ceremony grows closer and no suitor appears, Michal puts everything on the line to find happiness.	Man-woman relationships--Drama.;Weddings--Drama.		Romantic comedy films.--lcgft;Feature films.--lcgft;Fiction films.--lcgft;Video recordings for the hearing impaired.--lcgft	Burshtein, Rama,1967-screenwriter,film director.;Amir, Assaf,film producer.;Koler, Noa,actor.;Tamam, Amos,1977-actor.;Zehavi, Oz,actor.;Yasur, Amit,1966-director of photography.;Hersonski, Yael,editor of moving image work.;Edri, Roy,composer (expression)	Norma Productions (Israel),presenter.;Curzon Artificial Eye (Firm),publisher.
3878419	880-01Shirat ha-sirenah[videorecording] =Song of the siren /sereṭ shel Etan Foḳs. ; mafiḳ Yonatan ʼArokh.	Song of the siren	880-02Ramat ha-Sharon :En Em Si yunaiṭed,[2010]	1 videodisc (91 min.) :sound, color ;4 3/4 in.	Bonus features: Behind the scenes.;Originally released as a motion picture in Israel in 1994.;Based on Shirat ha-sirenah / Irit Linur.	Talila, preoccupied with her turbulent love life, couldn't care less about the wailing sirens which pierce the Tel Aviv skies nightly during the Gulf War-- that is, until her love life takes a turn for the worse and reality comes rushing in. Suddenly, she is faced with two dangers-- Saddam Hussein's nightly missiles and marriage to an 'unsuitable' suitor.	Persian Gulf War, 1991--Israel--Drama.;Single women--Israel--Drama.;Man-woman relationships--Israel--Drama.	Tel Aviv (Israel)--Drama.	Comedy films.--lcgft;Film adaptations.--lcgft;Feature films.--lcgft;Fiction films.--lcgft	880-03Fox, Eytan,1964-film director.;880-04Aroch, Jonathan,film producer.;880-05Linur, Irit,1961-screenwriter.;880-06Yarkoni, Yaffa,actor.;880-07Kahan, Dalit,1970-actor.;880-08Gur-Lavi, Boʻaz,actor.;880-09Lapid, Yair,actor.;880-10Cohen, Ady,1965-composer (expression);880-11Sela, Zohar M.,editor of moving image work.;880-12Koren, Avi,director of photography.;880-13Motion picture adaptation of (work):Linur, Irit,1961-Shirat ha-sirenah.	NMC United Entertainment (Firm),publisher.
3877169	Pokot[videorecording] /producent, Studio Filmowe TOR ; reżyseria, Agnieszka Holland, Kasia Adamik ; scenariusz, Olga Tokarczuk, Agnieszka Holland ; producenci, Krzysztof Zanussi, Janusz Wąchała.	Also known in English as:Spoor	Warzsawa :Agora SA,[2017];©2017	1 videodisc (123 min.) :sound, color ;4 3/4 in. + 1 book (20 unnumbered pages : color illustrations ; 20 cm)	"Based on the novel ""Prowadź swój pług przez kości umarłych"" by Olga Tokarczuk.;Originally released as a motion picture in 2017."	An elderly woman lives alone in the Klodzko Valley, where a series of mysterious crimes are committed. She is convinced she knows who or what is the murderer, but nobody believes her.	Retired women--Poland--Kłodzka Basin--Drama.;Murder--Investigation--Poland--Kłodzka Basin--Drama.		Detective and mystery films.--lcgft;Film adaptations.--lcgft;Feature films.--lcgft;Video recordings for the hearing impaired.--lcgft;Video recordings for people with visual disabilities.--lcgft	Holland, Agnieszka,1948-screenwriter,film director.;Adamik, Katarzyna,1972-director.;Tokarczuk, Olga,1962-screenwriter.;Zanussi, Krzysztof,1939-film producer.;Wąchała, Janusz,1958-film producer.;Motion picture adaptation of (work):Tokarczuk, Olga,1962-Prowadź swój pług przez kości umarłych.;Dylewska, Jola,1958-director of photography.;Komasa-Łazarkiewicz, Antoni,1980-composer (expression);Mandat-Grabka, Agnieszka,1953-actor.;Zborowski, Wiktor,1951-actor.;Krobot, Miroslav,1951-actor.;Gierszal, Jakub,1988-actor.;Volny, Patrycja,actor.	Zespół Filmowy TOR,production company.;Agora (Firm : Warsaw, Poland),publisher.
3886163	En tierra extraña[videorecording] =In a foreign land /Tormenta Films, IIcíar Bollaín, Turanga Films ; en co-produccíon con TVE ; con la participación de CANAL+ ; un documental de IIcíar Bollaín.	In a foreign land	[Spain] :Tormenta Films,[2014];©2014	1 videodisc (73 min.) :sound, color ;4 3/4 in.	Originally released as a documentary in 2014.	"This documentary about the life of young Spanish immigrants in Edinburgh, Scotland, who had to leave Spain due to recession and unemployment, portrays the experience of a 32-year-old Gloria, one of the 700,000 Spanish people who have left Spain in search of a better life since the economic crisis started. Working as a shop assitant in an Edinburgh store for the past two years, Gloria, trained to be a teacher, has started an initiative together with other Spanish immigrants with the motto ""Neither lost nor silenced"" as a way to express their frustrations and provide visibility and voice to those who wish to participate, from among the over 20,000 Spaniards in Scotland's capital."	Emigration and immigration--Social aspects.;Expatriation--Spain.;Aliens--Social aspects--Scotland.;Immigrants--Social aspects--Scotland.;Depressions.	Spain--Economics.;Scotland--Emigration and immigration.	Documentary films.--lcgft;Nonfiction films.--lcgft;Feature films.--lcgft	Bollain, Icíar,1967-film director,screenwriter,film producer.;Luna, Alicia,screenwriter.;Zumárraga, Cristina,film producer.;Badenes, Lina,film producer.;San Juan, Alberto,1968-interviewee (expression);García Roca, J.(Joaquín),interviewee (expression);Egea Cañabate, Gloria,interviewee (expression)	Tormenta Films,production company.;Turanga Films,production company.;Televisión Española,production company.;Canal+ España (Firm),production company.
3898733	History of the world, part 1[videoecording] /Twentieth Century Fox ; a Mel Brooks film ; directed, written and produced by Mel Brooks ; [a Brooksfilms production released by Twentieth Century-Fox Film Corporation].	On container:Mel Brooks' History of the world, part 1;History of the world, part one;History of the world, part I;Title on set box:Mel Brooks collection	Beverly Hills, Calif. :Twentieth Century Fox Home Entertainment,c2006.	1 videodisc (92 min.) :sound, color ;4 3/4 in.	Wide screen (2.35:1).;Originally produced as a motion picture in 1981.	A humorous look at the ages of man. Includes eras through the French Revolution.	Civilization, Western--History--Drama.;World history--Drama.;Last Supper--Drama.;Inquisition--Spain--Drama.;Historical films--Parodies, imitations, etc.	Rome--Drama.;France--History--Revolution, 1789-1799--Drama.	Comedy films.--lcgft;Parody films.--lcgft;Feature films.--lcgft;Fiction films.--lcgft;Video recordings for the hearing impaired.--lcgft	Brooks, Mel,1926-film director,film producer,screenwriter,actor.;DeLuise, Dom,actor.;Kahn, Madeline,actor.;Korman, Harvey,1927-2008,actor.;Leachman, Cloris,actor.;Carey, Ron,actor.;Hines, Gregory,actor.;Stephenson, Pamela,actor.;Greene, Shecky,actor.;Caesar, Sid,1922-2014,actor.;Humes, Mary-Margaret,actor.;Welles, Orson,1915-1985,narrator.;Howard, John C.,1930-1983,editor of moving image work.;Omens, Woody,director of photography.;Morris, John,1926-2018,composer (expression)	Twentieth Century-Fox Film Corporation,presenter.;Brooksfilms (Firm),production company.;Twentieth Century Fox Home Entertainment, Inc.,publisher.
3898533	10,000 km[videorecording] /Broad Green Pictures presents ; a Lastor Media production ; in association with La Panda ; written by Carlos Marques-Marcet and Clara Roquet ; produced by Tono Folguera, Sergi Moreno, Jana Díaz Juhl ; directed by Carlos Marques-Marcet.	Ten thousand kilometres;Ten thousand kilometers;Diez mil kilómetros	Los Angeles, CA :Broad Green Pictures,[2016]	1 videodisc (103 min.) :sound, color ;4 3/4 in.	Originally released as a motion picture in 2014.;Widescreen (1.85:1).		Long-distance relationships--Drama.;Technology--Drama.;Motion pictures, Spanish.		Foreign films.;Feature films.--lcgft;Romance films.--lcgft;Fiction films.--lcgft;Video recordings for the hearing impaired.--lcgft	Marques-Marcet, Carlos,screenwriter,film director.;Roquet, Clara,screenwriter.;Folguera, Tono,film producer.;Moreno, Sergi,film producer.;Diaz Juhl, Jana,film producer.;Tena, Natalia,1984-actor.;Verdaguer, David,actor.	Broad Green Pictures (Firm),film distributor.;Lastor Media,production company.;LA Panda Productions,production company.
3898543	House/lights[videorecording] /The Wooster Group ; directed by Elizabeth LeCompte.	Wooster Group, House/lights	New York :The Wooster Group,[2009];©2009	3 videodiscs (75 min.) :sound, color ;4 3/4 in.	"""A complete performance of the play, viewed from various angles. Plus, On tour, a documentary by Ken Kobland""--Container.;""Show length: 75 minutes; total material: 360 minutes""--Publisher's Website.;Bonus material: ON TOUR, a fly-on-the-wall documentary of The Wooster Group by filmmaker Ken Kobland; ZINGER FILE, a company commentary track with Group members Elizabeth LeCompte, Kate Valk, Scott Shepherd, Ari Fliakos, and Willem Dafoe."		Experimental theater.		Film adaptations.--lcgft;Filmed plays.--lcgft;Filmed performances.--lcgft;Experimental films.--lcgft	LeCompte, Elizabeth,stage director.;Kobland, Ken,film director,director of photography.;Roche, Suzzy,actor.;Valk, Kate,actor.;Faudree, Roy,actor.;Adaptation of (work):Stein, Gertrude,1874-1946.Doctor Faustus lights the lights.;Adaptation of (work):Mawra, J. P.(Joseph P.).Olga's house of shame.;Contains (work):Kobland, Ken.On tour.	Wooster Group,performer,production company.
